Data,Nome_Feriado,Tipo_Feriado,Descricao,Sigla_Estado,Municipio
01/05/2025,Dia do Trabalho,NACIONAL,"O Dia do Trabalhador ou Dia Internacional dos Trabalhadores é celebrado anualmente no dia 1º de Maio em numerosos países do mundo, sendo feriado no Brasil, em Portugal e em outros países.",, 
07/09/2025,Independência do Brasil,NACIONAL,"O Dia da Indepência do Brasil, oficialmente a data comemorada é a de 7 de setembro de 1822, em que ocorreu o chamado ""Grito do Ipiranga"".",, 
12/10/2025,Nossa Senhora Aparecida,NACIONAL,"Nossa Senhora da Conceição Aparecida é a padroeira do Brasil. Sua festa é celebrada em 12 de outubro, um feriado nacional desde que o Papa João Paulo II consagrou a Basílica em 1980.",, 
02/11/2025,Dia de Finados,NACIONAL,"O Dia de Finados ou Dia dos Fiéis Defuntos, (conhecido ainda como Dia dos Mortos no México), é celebrado pela Igreja Católica no dia 2 de novembro e é Feriado Nacional.",, 
15/11/2025,Proclamação da República,NACIONAL,"A Proclamação da República foi um levante político-militar ocorrido em 15 de novembro de 1889 que instaurou a forma Republicana Federativa Presidencialista de governo no Brasil, derrubando a Monarquia e, por conseguinte, o imperador dom Pedro II.",, 
25/12/2025,Natal,NACIONAL,"O Natal é comemorado anualmente em 25 de Dezembro. Originalmente destinado a celebrar o nascimento anual do Deus Sol no solstício de inverno, foi adaptado pela Igreja Católica no 3o século d.C., para permitir a conversão dos povos pagãos sob o domínio do Império Romano, passando a comemorar o nascimento de Jesus de Nazaré.",, 
09/07/2024,Revolução Constitucionalista,ESTADUAL,A Revolução Constitucionalista de 1932 foi um movimento armado que tinha por objetivo a derrubada do Governo Provisório de Getúlio Vargas e a promulgação de uma nova constituição para o Brasil.,SP, 
09/07/2025,Revolução Constitucionalista,ESTADUAL,A Revolução Constitucionalista de 1932 foi um movimento armado que tinha por objetivo a derrubada do Governo Provisório de Getúlio Vargas e a promulgação de uma nova constituição para o Brasil.,SP, 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Adamantina 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Adamantina 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Adolfo 
30/11/2024,Feriado Municipal,MUNICIPAL,,SP,Adolfo 
06/08/2024,Aniversário,MUNICIPAL,Aniversário de Aguaí,SP,Aguaí 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal Nº 2130, de 10.12.2008",SP,Aguaí 
11/02/2024,Feriado Municipal,MUNICIPAL,,SP,Águas da Prata 
03/07/2024,Feriado Municipal,MUNICIPAL,,SP,Águas da Prata 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 1818, de 2009",SP,Águas da Prata 
02/07/2024,Feriado Municipal,MUNICIPAL,,SP,Águas de Lindóia 
16/11/2024,Feriado Municipal,MUNICIPAL,,SP,Águas de Lindóia 
20/04/2024,Feriado Municipal,MUNICIPAL,,SP,Águas de Santa Bárbara 
04/12/2024,Feriado Municipal,MUNICIPAL,,SP,Águas de Santa Bárbara 
25/07/2024,Feriado Municipal,MUNICIPAL,,SP,Águas de São Pedro 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 1354 de 21/11/2006,SP,Águas de São Pedro 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Águas de São Pedro 
27/07/2024,Feriado Municipal,MUNICIPAL,,SP,Agudos 
04/04/2024,Feriado Municipal,MUNICIPAL,,SP,Alfredo Marcondes 
20/11/2024,Dia da Consciência Negra,MUNICIPAL, Lei Municipal nº 2.533/2010,SP,Alfredo Marcondes 
24/12/2024,Feriado Municipal,MUNICIPAL,,SP,Alfredo Marcondes 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Altair 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Altair 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Altair 
31/12/2024,Feriado Municipal,MUNICIPAL,,SP,Altair 
09/03/2024,Feriado Municipal,MUNICIPAL,,SP,Altinópolis 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Altinópolis 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal no 1.586, de 13/11/2007",SP,Altinópolis 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Alto Alegre 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Alto Alegre 
02/04/2024,Feriado Municipal,MUNICIPAL,,SP,Alumínio 
10/04/2024,Feriado Municipal,MUNICIPAL,,SP,Álvares Florence 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Álvares Florence 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Álvares Machado 
30/11/2024,Feriado Municipal,MUNICIPAL,,SP,Álvares Machado 
22/11/2024,Feriado Municipal,MUNICIPAL,,SP,Álvaro de Carvalho 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Alvinlândia 
08/08/2024,Feriado Municipal,MUNICIPAL,,SP,Alvinlândia 
29/03/2024,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,SP,Americana 
30/05/2024,Corpus Christi,MUNICIPAL,Dia de Corpus Christi,SP,Americana 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Americana 
17/11/2024,Dia da Consciência Negra,MUNICIPAL,Comemorações do Dia da Consciência Negra em Americana ocorrem no Terceiro Domingo do mês de Novembro,SP,Americana 
21/03/2024,Feriado Municipal,MUNICIPAL,,SP,Américo Brasiliense 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 00022/2007,SP,Américo Brasiliense 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Américo de Campos 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Américo de Campos 
08/04/2024,Feriado Municipal,MUNICIPAL,,SP,Amparo 
08/09/2024,Feriado Municipal,MUNICIPAL,,SP,Amparo 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 03043/2004,SP,Amparo 
21/06/2024,Feriado Municipal,MUNICIPAL,,SP,Analândia 
26/07/2024,Feriado Municipal,MUNICIPAL,,SP,Analândia 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Analândia 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Analândia 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Andradina 
11/07/2024,Feriado Municipal,MUNICIPAL,,SP,Andradina 
11/03/2024,Feriado Municipal,MUNICIPAL,,SP,Angatuba 
15/04/2024,Feriado Municipal,MUNICIPAL,,SP,Anhembi 
08/09/2024,Feriado Municipal,MUNICIPAL,,SP,Anhembi 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Anhembi 
06/08/2024,Feriado Municipal,MUNICIPAL,,SP,Anhumas 
13/12/2024,Feriado Municipal,MUNICIPAL,,SP,Anhumas 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 03410/2006,SP,Aparecida 
17/12/2024,Feriado Municipal,MUNICIPAL,,SP,Aparecida 
22/03/2024,Feriado Municipal,MUNICIPAL,,SP,Aparecida d'Oeste 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Apiaí 
14/08/2024,Feriado Municipal,MUNICIPAL,,SP,Apiaí 
19/05/2024,Feriado Municipal,MUNICIPAL,,SP,Araçariguama 
16/09/2024,Feriado Municipal,MUNICIPAL,,SP,Araçariguama 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 06924/07,SP,Araçatuba 
02/12/2024,Feriado Municipal,MUNICIPAL,,SP,Araçatuba 
07/04/2024,Feriado Municipal,MUNICIPAL,,SP,Araçoiaba da Serra 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Araçoiaba da Serra 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No. 1.675 DE 14 de setembro de 2009,SP,Araçoiaba da Serra 
04/04/2024,Feriado Municipal,MUNICIPAL,,SP,Aramina 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Aramina 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Aramina 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Arandu 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Arandu 
30/11/2024,Feriado Municipal,MUNICIPAL,,SP,Arandu 
22/08/2024,Feriado Municipal,MUNICIPAL,,SP,Araraquara 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 06633/07,SP,Araraquara 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Araras 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No. 4.258/2009,SP,Araras 
01/04/2024,Feriado Municipal,MUNICIPAL,,SP,Arealva 
25/11/2024,Feriado Municipal,MUNICIPAL,,SP,Arealva 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Areiópolis 
14/09/2024,Feriado Municipal,MUNICIPAL,,SP,Areiópolis 
10/04/2024,Feriado Municipal,MUNICIPAL,,SP,Ariranha 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Ariranha 
10/04/2024,Feriado Municipal,MUNICIPAL,,SP,Artur Nogueira 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Artur Nogueira 
08/06/2024,Feriado Municipal,MUNICIPAL,,SP,Arujá 
06/08/2024,Feriado Municipal,MUNICIPAL,,SP,Arujá 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Arujá 
01/07/2024,Feriado Municipal,MUNICIPAL,,SP,Assis 
29/03/2024,Sexta-Feira Santa,MUNICIPAL,"Sexta-Feira Santa conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
30/05/2024,Corpus Christi,MUNICIPAL,"Corpus Christi conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
24/06/2024,Aniversário da Cidade,MUNICIPAL,"Aniversário de Atibaia, conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
02/11/2024,Finados,MUNICIPAL,"Dia de Finados, conforme Lei 978/67, de 03 de Maio de 1967",SP,Atibaia 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Auriflama 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Avaí 
02/12/2024,Feriado Municipal,MUNICIPAL,,SP,Avaí 
13/12/2024,Feriado Municipal,MUNICIPAL,,SP,Avanhandava 
29/12/2024,Feriado Municipal,MUNICIPAL,,SP,Avanhandava 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Avaré 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Bady Bassitt 
18/02/2024,Feriado Municipal,MUNICIPAL,,SP,Bady Bassitt 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Bady Bassitt 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Balbinos 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Balbinos 
17/11/2024,Feriado Municipal,MUNICIPAL,,SP,Bálsamo 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Bálsamo 
10/07/2024,Feriado Municipal,MUNICIPAL,,SP,Bananal 
06/08/2024,Feriado Municipal,MUNICIPAL,,SP,Bananal 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 0004 de 03/03/2009,SP,Bananal 
31/01/2024,Feriado Municipal,MUNICIPAL,,SP,Barbosa 
29/08/2024,Feriado Municipal,MUNICIPAL,,SP,Barbosa 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Barbosa 
16/06/2024,Feriado Municipal,MUNICIPAL,,SP,Bariri 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Bariri 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Barra Bonita 
21/03/2024,Feriado Municipal,MUNICIPAL,,SP,Barra do Turvo 
19/08/2024,Feriado Municipal,MUNICIPAL,,SP,Barra do Turvo 
25/08/2024,Feriado Municipal,MUNICIPAL,,SP,Barretos 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 4151, de 04.02.2009",SP,Barretos 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Barrinha 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Barrinha 
30/12/2024,Feriado Municipal,MUNICIPAL,,SP,Barrinha 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Barueri 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 1639, de 01/03/2007",SP,Barueri 
18/06/2024,Feriado Municipal,MUNICIPAL,,SP,Bastos 
03/12/2024,Feriado Municipal,MUNICIPAL,,SP,Bastos 
14/03/2024,Feriado Municipal,MUNICIPAL,,SP,Batatais 
06/08/2024,Feriado Municipal,MUNICIPAL,,SP,Batatais 
01/08/2024,Feriado Municipal,MUNICIPAL,,SP,Bauru 
03/05/2024,Feriado Municipal,MUNICIPAL,,SP,Bebedouro 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Bebedouro 
27/03/2024,Feriado Municipal,MUNICIPAL,,SP,Bento de Abreu 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Bento de Abreu 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Bento de Abreu 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Bernardino de Campos 
09/10/2024,Aniversário do município,MUNICIPAL,,SP,Bernardino de Campos 
19/05/2024,Emancipação,MUNICIPAL,Emancipação Político-administrativo,SP,Bertioga 
24/06/2024,São João,MUNICIPAL,"Dia de São João Batista, padroeiro do município",SP,Bertioga 
20/11/2024,Consciência Negra,MUNICIPAL,Dia da Consciência Negra,SP,Bertioga 
18/04/2024,Feriado Municipal,MUNICIPAL,,SP,Bilac 
08/09/2024,Feriado Municipal,MUNICIPAL,,SP,Bilac 
08/12/2024,Nossa Sra da Conceição,MUNICIPAL,Dia da Padroeira da Cidade,SP,Birigui 
05/05/2024,Feriado Municipal,MUNICIPAL,,SP,Biritiba-Mirim 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Boa Esperança do Sul 
21/07/2024,Feriado Municipal,MUNICIPAL,,SP,Boa Esperança do Sul 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Boa Esperança do Sul 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Bocaina 
08/12/2024,Nossa Sra. Conceição,MUNICIPAL,Feriado de Nossa Senhora da Conceição,SP,Bocaina 
09/09/2024,Feriado Municipal,MUNICIPAL,,SP,Bofete 
20/11/2024,Dia da Consciência Negra - Lei no 1.914 de 04 de dezembro de 2007,MUNICIPAL,,SP,Bofete 
16/08/2024,Feriado Municipal,MUNICIPAL,,SP,Boituva 
06/09/2024,Feriado Municipal,MUNICIPAL,,SP,Boituva 
22/05/2024,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade de Bom Jesus dos Perdões,SP,Bom Jesus dos Perdões 
06/08/2024,Feriado Municipal,MUNICIPAL,,SP,Bom Jesus dos Perdões 
31/03/2024,Feriado Municipal,MUNICIPAL,,SP,Borá 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Borá 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Borborema 
21/03/2024,Feriado Municipal,MUNICIPAL,,SP,Borborema 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 2471, de 10.10.2008",SP,Borborema 
29/03/2024,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,SP,Botucatu 
14/04/2024,Aniversário da Cidade,MUNICIPAL,Aniversário da Cidade,SP,Botucatu 
30/05/2024,Corpus Christi,MUNICIPAL,Corpus Christi,SP,Botucatu 
26/07/2024,Dia de SantAnna,MUNICIPAL,Dia de SantAnna,SP,Botucatu 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Bragança Paulista 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Bragança Paulista 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Braúna 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Braúna 
22/08/2024,Feriado Municipal,MUNICIPAL,,SP,Brodowski 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Brodowski 
03/05/2024,Feriado Municipal,MUNICIPAL,,SP,Brotas 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Brotas 
25/01/2024,Feriado Municipal,MUNICIPAL,,SP,Buri 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Buri 
16/08/2024,Feriado Municipal,MUNICIPAL,,SP,Buri 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Buri 
24/08/2024,Feriado Municipal,MUNICIPAL,,SP,Buritama 
20/11/2024,"Dia da Consciência Negra - Lei No. 3.249, de 18 de novembro de 2008",MUNICIPAL,,SP,Buritama 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Buritama 
28/07/2024,Feriado Municipal,MUNICIPAL,,SP,Buritizal 
08/09/2024,Feriado Municipal,MUNICIPAL,,SP,Buritizal 
06/08/2024,Feriado Municipal,MUNICIPAL,,SP,Cabrália Paulista 
26/12/2024,Feriado Municipal,MUNICIPAL,,SP,Cabrália Paulista 
24/03/2024,Feriado Municipal,MUNICIPAL,,SP,Cabreúva 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Cabreúva 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 1765 de 09 11 2006,SP,Cabreúva 
14/04/2024,Feriado Municipal,MUNICIPAL,,SP,Caçapava 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Caçapava 
09/03/2024,Feriado Municipal,MUNICIPAL,,SP,Cachoeira Paulista 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Cachoeira Paulista 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Cachoeira Paulista 
29/03/2024,Sexta-Feira Santa,MUNICIPAL,Sexta-Feira Santa,SP,Caconde 
27/04/2024,Aniversário Ranieri Mazzilli,MUNICIPAL," Aniversário de Ranieri Mazzilli. Lei Municipal nº 2255, de 14 de dezembro de 2005",SP,Caconde 
30/05/2024,Corpus Christi,MUNICIPAL,"conforme Lei Municipal nº 950, de 30 de setembro de 1969",SP,Caconde 
08/12/2024,Aniversário da Cidade,MUNICIPAL,Aniversário do Município. Lei Municipal nº 841 de 31 de agosto de 1967,SP,Caconde 
11/04/2024,Feriado Municipal,MUNICIPAL,,SP,Cafelândia 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Cafelândia 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Caiabu 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Caiabu 
30/12/2024,Feriado Municipal,MUNICIPAL,,SP,Caiabu 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,Dia do Padroeiro da Cidade,SP,Caieiras 
14/12/2024,Feriado Municipal,MUNICIPAL,,SP,Caieiras 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Caiuá 
29/06/2024,Feriado Municipal,MUNICIPAL,,SP,Caiuá 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Cajamar 
18/02/2024,Feriado Municipal,MUNICIPAL,,SP,Cajamar 
19/05/2024,Feriado Municipal,MUNICIPAL,,SP,Cajati 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Cajati 
13/05/2024,Feriado Municipal,MUNICIPAL,,SP,Cajobi 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Cajobi 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 1.993 de 20 de setembro de 2010,SP,Cajobi 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Cajuru 
11/07/2024,Feriado Municipal,MUNICIPAL,,SP,Cajuru 
18/08/2024,Feriado Municipal,MUNICIPAL,,SP,Cajuru 
29/03/2024,Sexta-feira Santa,MUNICIPAL,"conforme Lei Municipal no 173, de 28 de junho de 1949",SP,Campinas 
30/05/2024,Corpus Christi,MUNICIPAL,"conforme Lei Municipal no 173, de 28 de junho de 1949",SP,Campinas 
20/11/2024,Consciência Negra,MUNICIPAL,"Dia da Consciência Negra, conforme Lei Municipal No 11.128 DE 14/01/2002",SP,Campinas 
08/12/2024,N. Sra da Conceição,MUNICIPAL,"Padroeira de Campinas, Lei Municipal no 173, de 28 de junho de 1949",SP,Campinas 
21/03/2024,Feriado Municipal,MUNICIPAL,,SP,Campo Limpo Paulista 
29/04/2024,Feriado Municipal,MUNICIPAL,,SP,Campos do Jordão 
01/10/2024,"Dia de Santa Teresinha do Menino Jesus, Padroeira da cidade",MUNICIPAL,,SP,Campos do Jordão 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal N° 3028, de 27.12.2006",SP,Campos do Jordão 
10/03/2024,Feriado Municipal,MUNICIPAL,,SP,Campos Novos Paulista 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Campos Novos Paulista 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Campos Novos Paulista 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Cananéia 
12/08/2024,Feriado Municipal,MUNICIPAL,,SP,Cananéia 
15/08/2024,Feriado Municipal,MUNICIPAL,,SP,Cananéia 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Cananéia 
22/03/2024,Feriado Municipal,MUNICIPAL,,SP,Canas 
24/05/2024,Feriado Municipal,MUNICIPAL,,SP,Canas 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 338 de 14 de novembro de 2007,SP,Canas 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Cândido Mota 
18/02/2024,Feriado Municipal,MUNICIPAL,,SP,Cândido Rodrigues 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Cândido Rodrigues 
16/08/2024,Feriado Municipal,MUNICIPAL,,SP,Cândido Rodrigues 
02/04/2024,Feriado Municipal,MUNICIPAL,,SP,Capão Bonito 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Capão Bonito 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Capão Bonito 
26/03/2024,Feriado Municipal,MUNICIPAL,,SP,Capela do Alto 
29/05/2024,Feriado Municipal,MUNICIPAL,,SP,Capela do Alto 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Capivari 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,Lei Municipal No 3994/2012,SP,Capivari 
20/04/2024,Feriado Municipal,MUNICIPAL,,SP,Caraguatatuba 
13/06/2024,Dia de Santo Antônio,MUNICIPAL,,SP,Caraguatatuba 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 1402, de 14.06.2007",SP,Caraguatatuba 
26/03/2024,Feriado Municipal,MUNICIPAL,,SP,Carapicuíba 
29/06/2024,Feriado Municipal,MUNICIPAL,,SP,Carapicuíba 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Art. 220 da Lei Orgânica Municipal , alterada pela emenda 41/08",SP,Carapicuíba 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Cardoso 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Cardoso 
15/09/2024,Feriado Municipal,MUNICIPAL,,SP,Casa Branca 
06/01/2024,Feriado Municipal,MUNICIPAL,,SP,Cássia dos Coqueiros 
18/02/2024,Feriado Municipal,MUNICIPAL,,SP,Cássia dos Coqueiros 
22/05/2024,Feriado Municipal,MUNICIPAL,,SP,Cássia dos Coqueiros 
29/06/2024,Feriado Municipal,MUNICIPAL,,SP,Cássia dos Coqueiros 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Castilho 
10/08/2024,Feriado Municipal,MUNICIPAL,,SP,Castilho 
14/04/2024,Aniversário do município,MUNICIPAL,,SP,Catanduva 
08/08/2024,São Domingos,MUNICIPAL,"Dia de São Domingos, padroeiro da cidade",SP,Catanduva 
20/01/2024,Feriado Municipal,MUNICIPAL,,SP,Catiguá 
03/05/2024,Feriado Municipal,MUNICIPAL,,SP,Catiguá 
04/07/2024,Feriado Municipal,MUNICIPAL,,SP,Catiguá 
21/06/2024,Feriado Municipal,MUNICIPAL,,SP,Cedral 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Cedral 
01/10/2024,S. Teresinha do Menino Jesus,MUNICIPAL,Padroeira da cidade,SP,Cerqueira César 
10/10/2024,Aniversário da cidade,MUNICIPAL,,SP,Cerqueira César 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Cerqueira César 
19/03/2024,São José,MUNICIPAL,Dia de São José,SP,Cerquilho 
03/04/2024,Feriado Municipal,MUNICIPAL,,SP,Cerquilho 
03/05/2024,Feriado Municipal,MUNICIPAL,,SP,Cesário Lange 
14/09/2024,Feriado Municipal,MUNICIPAL,,SP,Cesário Lange 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 1278, de 05.12.2008",SP,Charqueada 
08/12/2024,Feriado Municipal,MUNICIPAL,,SP,Charqueada 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,"Lei Municipal No 2920, de 2009",SP,Chavantes 
04/12/2024,Feriado Municipal,MUNICIPAL,,SP,Chavantes 
24/06/2024,Feriado Municipal,MUNICIPAL,,SP,Clementina 
20/11/2024,Dia da Consciência Negra,MUNICIPAL,,SP,Clementina 
